,key,value
1197,不愉快,2
1198,那一刻,18
1199,由衷,2
1200,优秀,21
1201,白过,2
1202,系统,3
1203,告诉你,14
1204,后悔,18
1205,网易云,26
1206,这种,74
1207,听歌,61
1208,模式,2
1209,不止,8
1210,遇见了,1
1211,渐近线,1
1212,相交,4
1213,线,20
1214,俞走愈远,1
1215,抱,10
1216,毕业,68
1217,流着泪,2
1218,全班,15
1219,魏晨,6
1220,很少,15
1221,韩风,1
1222,不伦不类,1
1223,值得,32
1224,陆虎,1
1225,有才,7
1226,疯子,2
1227,傻子呆,1
1228,神,10
1229,大一,24
1230,一段时间,6
1231,疯狂,12
1232,迷恋,1
1233,憨笑,67
1234,没错,6
1235,刘心,2
1236,无法自拔,2
1237,快男,4
1238,五年,8
1239,一个歌,1
1240,单里,1
1241,说不出,6
1242,中老年,1
1243,电音,7
1244,爱好者,1
1245,福音,1
1246,处男,5
1247,过境,2
1248,迁,2
1249,潘娜娜,1
1250,干,20
1251,几件,1
1252,毕业后,12
1253,从没,14
1254,过到,1
1255,八九年,2
1256,不定,5
1257,部队,3
1258,封闭,1
1259,看不见,3
1260,生子,4
1261,说出来,12
1262,安好,9
1263,紫萱,9
1264,徐长卿,1
1265,一世,1
1266,林海,1
1267,作曲,35
1268,桐华,1
1269,作词,27
1270,李琦,2
1271,演唱,19
1272,三个人,4
1273,碰撞,2
1274,火花,1
1275,唐嫣,6
1276,霍建华,3
1277,白豆腐,4
1278,金元宝,1
1279,玉麒麟,1
1280,不敢,46
1281,霍唐,1
1282,給羅志祥,1
1283,一说,3
1284,顿时,8
1285,毁,9
1286,惶恐,5
1287,华语,23
1288,歌坛,5
1289,真是,67
1290,百花齐放,1
1291,一批,4
1292,歌舞,1
1293,俱佳,2
1294,李玟,1
1295,蔡依林,14
1296,许慧欣,1
1297,舞曲,4
1298,绝迹,1
1299,情歌,32
1300,house,2
1301,典范,1
1302,作,19
1303,唯一,40
1304,主要,5
1305,就叫,8
1306,何珊,1
1307,听听,15
1308,开朗,2
1309,走走,3
1310,只不过,9
1311,河山,4
1312,大好,5
1313,推翻,1
1314,15年,10
1315,广东,3
1316,嵩哥,7
1317,成绩,8
1318,语文,15
1319,平时,9
1320,20分,1
1321,题目,4
1322,结尾,15
1323,出去走走,1
1324,窝,3
1325,懒虫,1
1326,跳舞,14
1327,七大,1
1328,古都,4
1329,河南,3
1330,占,5
1331,仨,1
1332,欢迎,8
1333,玩耍,2
1334,吐舌,10
1335,每天,71
1336,二,25
1337,一晃,7
1338,两三年,2
1339,悲伤,27
1340,没有了,11
1341,周日,1
1342,九点,1
1343,床上,5
1344,爬起来,1
1345,吃着,6
1346,大米,2
1347,粥,6
1348,刷,22
1349,诺基亚5230,2
1350,大男孩,6
1351,恋爱,47
1352,旧,13
1353,版,25
1354,q音省,1
1355,100M,1
1356,流量,7
1357,某人,3
1358,岁月,23
1359,智能,2
1360,大屏,1
1361,心情,29
1362,得到,30
1363,越来,5
1364,越多,8
1365,失去,36
1366,自我,7
1367,早读,1
1368,课,21
1369,大声,6
1370,朗诵,2
1371,背书,3
1372,掩护,2
1373,三,22
1374,异地,16
1375,爱着,20
1376,幼稚,11
1377,坚定,8
1378,高二,22
1379,正好,12
1380,发行,7
1381,好久没,1
1382,发自,2
1383,内心,26
1384,考,20
1385,全校,5
1386,角落,13
1387,想知道,5
1388,当你,21
1389,红榜,1
1390,表情,11
1391,走进,8
1392,我的回忆,1
1393,汪苏泷,30
1394,容易,13
1395,陷入,3
1396,不能自拔,2
1397,暴露,5
1398,大都,1
1399,情绪,27
1400,所谓,17
1401,造成,4
1402,影响,11
1403,反正,24
1404,轨迹,4
1405,沉溺,3
1406,之中,10
1407,乖,2
1408,时光,56
1409,坎坷,2
1410,崎岖,1
1411,总得,1
1412,向前,2
1413,李宗盛真,1
1414,混蛋,3
1415,写给,14
1416,唱唱,3
1417,2004,1
1418,5月17号,1
1419,含,6
1420,半夜,14
1421,一滴眼泪,2
1422,只能,48
1423,跌倒,1
1424,90后,23
1425,张信哲,11
1426,吴昕,3
1427,跨年,4
1428,泪奔,7
1429,不懂,32
1430,偶像,9
1431,两个字,8
1432,多大,5
1433,陪伴,29
1434,长时间,1
1435,力量,19
1436,成功,25
1437,追星,4
1438,就是为了,1
1439,不断,10
1440,每一个,24
1441,出现,40
1442,清楚,18
1443,坚固,1
1444,信仰,10
1445,勇敢,19
1446,爱心,138
1447,10年,13
1448,打工,10
1449,大年,3
1450,三十,3
1451,天津西站,2
1452,空荡,2
1453,网吧,16
1454,一个四十,2
1455,左右,8
1456,大叔,7
1457,戴着,11
1458,耳机,49
1459,打字,3
1460,请求,3
1461,帮,33
1462,搜索,5
1463,歌曲,88
1464,讲,38
1465,临走,4
1466,盲人,3
1467,见过,34
1468,斯斯文文,1
1469,偷人,1
1470,大大咧咧,1
1471,抽烟,9
1472,喝酒,19
1473,坚守,1
1474,穿,15
1475,西装,3
1476,领带,2
1477,父母,25
1478,破口大骂,1
1479,一身,10
1480,纹身,4
1481,照顾,16
1482,住院,1
1483,长辈,5
1484,无微不至,1
1485,人品,4
1486,骨子里,2
1487,份,10
1488,善良,18
1489,嗓音,12
1490,自带,6
1491,催泪,2
1492,特技,5
1493,这辈子,25
1494,害怕,16
1495,听懂,15
1496,讨厌,18
1497,迪克牛仔,2
1498,长,58
1499,难看,4
1500,什么时候,10
1501,接受,21
1502,感悟人,1
1503,成长,19
1504,大学,126
1505,选修,1
1506,一门,1
1507,小说,13
1508,赏析,2
1509,选修课,2
1510,有意思,10
1511,够不够,1
1512,成熟,28
1513,稳重,1
1514,姿态,1
1515,受伤,9
1516,往往,14
1517,受重伤,1
1518,总是,77
1519,慢,13
1520,忘记,25
1521,忘不掉,7
1522,谈,28
1523,一段,43
1524,很难,12
1525,花,46
1526,去了解,5
1527,一篇,15
1528,文章,16
1529,写完,6
1530,潦草,6
1531,作业,17
1532,撕,9
1533,重新,22
1534,内容,11
1535,懒得,11
1536,光,33
1537,精力,6
1538,从头,7
1539,来过,8
1540,家里,28
1541,偷钱,1
1542,买,113
1543,感触,7
1544,没想到,16
1545,看来,14
1546,年轻,46
1547,是不是,33
1548,许嵩歌,2
1549,苏格拉,1
1550,底,9
1551,梦游计,1
1552,证明,17
1553,歌唱,10
1554,很高,3
1555,去年,22
1556,茶,15
1557,看淡,1
1558,自定义,2
1559,寻雾,1
1560,启示,1
1561,想听,13
1562,在线,3
1563,表姐,3
1564,单单,2
1565,林志颖,1
1566,粉丝,26
1567,陈若仪,1
1568,钟汉良,1
1569,齐芳,1
1570,刘德华,4
1571,朱丽倩,1
1572,叶世荣,1
1573,许韵珊,1
1574,周杰伦,86
1575,昆凌,4
1576,王力宏,6
1577,李靓蕾,2
1578,谈谈,2
1579,三个,12
1580,徐良,24
1581,本兮,5
1582,非主流,18
1583,高贵,4
1584,低俗,5
1585,主观,3
1586,打动,14
1587,引起,6
1588,共鸣,12
1589,名气,5
1590,地位,12
1591,无关,15
1592,功能力,4
1593,关系,15
1594,不大,8
1595,时代,26
1596,高一,20
1597,晚饭,1
1598,吃饭,23
1599,一只耳机,2
1600,拒绝,29
1601,戏剧,2
1602,要好,3
1603,朋友,113
1604,学期,5
1605,黄焖鸡米饭,2
1606,途端,2
1607,碗,13
1608,添,3
1609,饭,21
1610,阿姨,6
1611,黄焖鸡,2
1612,收拾,11
1613,端,7
1614,一碗,8
1615,楞,3
1616,好久,26
1617,有说有笑来来往往,2
1618,而我,19
1619,仿佛,21
1620,整个,39
1621,抛弃,12
1622,试问,2
1623,感同身受,2
1624,室友,25
1625,品味,6
1626,某天,8
1627,一不小心,1
1628,播放器,8
1629,里面,56
1630,自由,24
1631,飞翔,2
1632,赶上,3
1633,公车,4
1634,一个劲儿,1
1635,走坐,1
1636,拽,3
1637,手上,6
1638,钱,58
1639,投,11
1640,投币,1
1641,司机,9
1642,浅浅,1
1643,一笑,10
1644,冬至早上,1
1645,暖心,1
1646,陈奕迅,24
1647,堪比,2
1648,室外场,1
1649,不爱你,2
1650,难,30
1651,打空拳,1
1652,力,3
1653,特么,8
1654,隔,3
1655,吼,4
1656,李俊昊,1
1657,中文,19
1658,发音,6
1659,好准,1
1660,拿来,2
1661,婚礼,16
1662,强,40
1663,戚爷,1
1664,俊昊,1
1665,欧巴,1
1666,真正,53
1667,同性,4
1668,情况,4
1669,面对,21
1670,胆怯,3
1671,告诉,53
1672,心意,3
1673,顾虑到,1
1674,会不会,12
1675,认为,27
1676,变态,1
1677,理,10
1678,当成,6
1679,奇怪,8
1680,种,30
1681,推测,1
1682,脑海,10
1683,浮现,7
1684,逃避,2
1685,另一种,4
1686,真实,20
1687,一点,68
1688,做作,7
1689,不得已,1
1690,必须,13
1691,放下,25
1692,陌路,2
1693,快快乐乐,3
1694,最美,16
