港澳台頻道,#genre#
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯,http://ayolee.com:5253/udp/239.93.1.9:2192
凤凰资讯,http://146.56.153.245:20121/bysid/257
鳳凰資訊,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
鳳凰資訊,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
鳳凰資訊,http://hikvision.city:880/fhzx.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,http://13457610200.8866.org:2018/live/星空卫视/index.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,http://ayolee.com:5253/udp/239.93.0.156:2193
星空国际,http://13457610200.8866.org:2018/live/星空国际/index.m3u8
私人影院,http://13457610200.8866.org:2018/live/影视频道HD/index.m3u8
中国电影,http://13457610200.8866.org:2018/live/中国电影/index.m3u8
人间卫视,https://epg.pw/stream/05b9099bef592e55129817a0f82b4cc60378970bc856b993ae9e330e85f4351f.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/01.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/02.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
生命,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心❤️,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
香港佛佗,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
香港佛佗,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
大爱❤️,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛2,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛2,http://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛2,http://gg.gg/HeNeiIPTV-Da_Ai_Er_Tai_HD
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,https://epg.pw/stream/2b383d639b6b2eade22f2d085141a38ae48a98f24b8a06f485e23f7211bbf909.m3u8
CCTN,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8

澳门频道,#genre#

澳門蓮花,http://php.jdshipin.com:8880/amlh.php
亚太第一卫视,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://nz171l122.bb60246.ctm.net:8891/bysid/91.m3u8
澳视葡语,http://nz171l122.bb60246.ctm.net:8891/bysid/92.m3u8
澳门资讯,http://nz171l122.bb60246.ctm.net:8891/bysid/94.m3u8
澳门macau,http://nz171l122.bb60246.ctm.net:8891/bysid/96.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8


台湾频道,#genre#

番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
台湾番薯台,https://epg.pw/stream/f60d0478b5c3b32b42dff1197b6499bb64e79ca1b9544d28dfb62fe1d84da582.m3u8
台湾番薯台,https://epg.pw/stream/51cb56342f39e6110b315b4d3c3391ef7b96e4b8cb91bd1e0670393a6da2755f.m3u8
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
中视,rtmp://f13h.mine.nu/sat/tv091
华视电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华视电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
华视,rtmp://f13h.mine.nu/sat/tv111
东森电影,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来育乐台,rtmp://f13h.mine.nu/sat/tv721
纬来日本,rtmp://f13h.mine.nu/sat/tv771
EVELEN1台,rtmp://f13h.mine.nu/sat/tv731
EVELEN2,rtmp://f13h.mine.nu/sat/tv741
Loupe4k,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
好消息1,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
松桃,http://live.strmtzx.cn/stxw/sd/live.m3u8
MHK新闻,http://61.221.215.25:8800/hls/51/index.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
台视频道,rtmp://220.130.201.73/sat/tv071
台视频道,rtmp://f13h.mine.nu/sat/tv071
纬来日本,rtmp://220.130.201.73/sat/tv771
纬来日本,rtmp://f13h.mine.nu/sat/tv771

东森超视,rtmp://220.130.201.73/sat/tv331
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森超视,http://38.64.72.148/hls/modn/list/2013/chunklist1.m3u8
东森超视,https://epg.pw/stream/9ee97d4efee35aa017c6d4ec03d219b96a4e63c74011ecc833877a100cf75d36.m3u8
中视频道,rtmp://f13h.mine.nu/sat/tv091
中視,rtmp://220.130.201.73/sat/tv091
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来体育,rtmp://f13h.mine.nu/sat/tv721
緯來體育,http://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
CGNTV台,http://live.cgtn.com/1000/prog_index.m3u8
好消息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
中旺电视,http://38.64.72.148/hls/modn/list/4010/chunklist0.m3u8
台视新聞,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻台,https://epg.pw/stream/7270ae89dc1f30cfec2c03d01b6e2fbc50863f60936b534814dfd28caa72181e.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视频道,rtmp://220.130.201.73/sat/tv051
民视频道,rtmp://f13h.mine.nu/sat/tv051
FOX新聞,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w614428743.m3u8
人間衛視,https://epg.pw/stream/9d0b87502ccb47a1a2c8211dc602777d5146e941c631c933743048da0b44053d.m3u8
半島新聞,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
華視新聞,http://livetv.skycf.eu.org/live.m3u8?c=13
華視頻道,rtmp://220.130.201.73/sat/tv111
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡國際,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
無線經典臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
時尚FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
星光視界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
緯來精彩臺,http://61.221.215.25:8800/hls/48/index.m3u8
緯來育樂,rtmp://220.130.201.73/sat/tv701
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8

电影频道,#genre#
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC动作电影,http://www.91dos.cn:4022/rtp/239.61.3.16:9616
CHC动作电影,http://www.tico2.eu.org:4022/rtp/239.69.1.242:11094
CHC动作电影,http://115.60.241.249:2000/rtp/225.1.4.208:1261
CHC动作电影,http://ojbk.02200059.xyz:4022/udp/226.1.30.180:6000
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
CHC影迷电影,http://www.tico2.eu.org:4022/rtp/239.69.1.241:11088
CHC影迷电影,http://ojbk.02200059.xyz:4022/udp/226.1.30.181:6000
经典重温,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC家庭影院,http://www.tico2.eu.org:4022/rtp/239.69.1.243:11100
CHC家庭影院,http://iptv.028028.xyz:8/rtp/239.93.42.6:5140


🇹🇼港十频道,#genre#

美亚卫视,http://aattv.com/app_live.html

香港文旅,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=2 
RTHK32,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=224 
耀才财经,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=228 
点掌财经,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=232 
香港佛陀,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=248 
人间卫视,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=428 
大爱一台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=429 
大爱二台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=430 
GOODTV,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=433 
🇹🇼港台-频道,#genre#
番薯电视台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=584 「
官方」面包台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=585 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
唯心电视台,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8 
翡翠台,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=571187 
星空卫视,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=683118 
美亚电视C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
生命电视台,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8 
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8 
纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130 
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
 TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8 TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
 民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8 
台视新聞,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8 
东森超视,http://38.64.72.148/hls/modn/list/2013/chunklist1.m3u8
 东森美国卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8 
星空卫视,http://jyjxy.7766.org:8811/hls/31/index.m3u8 T
VB 星河台,http://jyjxy.7766.org:8811/hls/35/index.m3u8 
中国电影,http://jyjxy.7766.org:8811/hls/58/index.m3u8 
东森洋片台,http://jyjxy.7766.org:8811/hls/59/index.m3u8 
天映经典,http://jyjxy.7766.org:8811/hls/62/index.m3u8 
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8 
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8 
TVB华丽翡翠台,http://v2h.jdshipin.com/jade/jade.stream/chunklist.m3u8 
凤凰香港,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153402 
凤凰卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8, 
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8 
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰电影,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰香港,http://120.84.121.11:808/hls/81/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰中文,http://120.84.121.11:808/hls/29/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰资讯,http://120.84.121.11:808/hls/28/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
天映电影,http://120.84.121.11:808/hls/85/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
龙祥电影,http://120.84.121.11:808/hls/35/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
TVB1本港台,http://120.84.121.11:808/hls/86/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
TVB2翡翠,http://120.84.121.11:808/hls/25/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
TVB3明珠,http://120.84.121.11:808/hls/26/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
星空卫视,http://120.84.121.11:808/hls/79/index.m3u8?key=tvbox6_com&playlive=1&authid=0 
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191 
凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192 
凤凰中文,https://edge2.laotv.la/live/PhxChinese/sc-gaFECQ/index.m3u8 
凤凰资讯,https://edge2.laotv.la/live/PhoenixNews/sc-gaFECQ/index.m3u8 
翡翠台,http://61.140.112.194:808/hls/105/index.m3u8?key=tvbox6_com&playlive=0&authid=0 
香港明珠,http://61.140.112.194:808/hls/106/index.m3u8?key=tvbox6_com&playlive=0&authid=0 
星空卫视,http://61.140.112.194:808/hls/110/index.m3u8?key=tvbox6_com&playlive=0&authid=0 
翡翠台,http://113.86.206.78:9999/tsfile/live/1055_1.m3u8 
星河频道,http://113.86.206.78:9999/tsfile/live/1053_1.m3u8 
凤凰卫视,http://113.86.206.78:9999/tsfile/live/0108_1.m3u8 
东森电影,http://113.86.206.78:9999/tsfile/live/1058_1.m3u8 
动作电影,http://113.86.206.78:9999/tsfile/live/1054_1.m3u8
 龙祥电影,http://113.86.206.78:9999/tsfile/live/1057_1.m3u8 
星空音乐,http://113.86.206.78:9999/tsfile/live/1050_1.m3u8
 星空卫视,http://113.86.206.78:9999/tsfile/live/1060_1.m3u8 
TVB星河,http://180.167.104.105:9901/tsfile/live/1004_1.m3u8?key=tvbox6_com&playlive=1&authid=0 
无线新闻,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=3#mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=5#mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=6 
无线财经体育资讯,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=4#mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=7#mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=8 
翡翠台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=9 
代理明珠台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=10 
J2台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=11 
无线新闻,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=12 
翡翠台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=13 
明珠台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=14 
凤凰中文台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=15 
星空卫视,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=16 
翡翠台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=17 无线新闻,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=18 娱乐新闻,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=19
 TVB泰国,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=20 
TVB直播,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=21 
神州新闻,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=22 
武侠频道,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=23 
「移动」凤凰中文台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=24 
「移动」凤凰资讯台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=25 
「移动」凤凰中文台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=26 
凤凰卫视美洲,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=27 
凤凰资讯台,mywlkj.ddns.net:754/tv/dl/dl668/hk.php?id=28 
💖中国澳门👉全网,#genre# 
澳视澳门台,http://tvbox6.com/tv/dl/dl668/top.php?id=301 
澳视葡文台,http://tvbox6.com/tv/dl/dl668/top.php?id=302 
澳视卫星台,http://tvbox6.com/tv/dl/dl668/top.php?id=303 
澳视体育台,http://tvbox6.com/tv/dl/dl668/top.php?id=304 
澳视资讯台,http://tvbox6.com/tv/dl/dl668/top.php?id=305 
澳视高清台,http://tvbox6.com/tv/dl/dl668/top.php?id=306 
澳亚卫视,http://tvbox6.com/tv/dl/dl668/top.php?id=308 
澳门卫视,http://tvbox6.com/tv/dl/dl668/top.php?id=309 
莲花卫视「酒店」,http://lhq-cctv.8866.org:18181/tsfile/live/1212_1.m3u8 
莲花卫视,http://moss.hk3.345888.xyz.cdn.cloudflare.net/11/lotus.php 
中国台湾👉全网,#genre# 
民视,rtmp://f13h.mine.nu/sat/tv051 
台视,rtmp://f13h.mine.nu/sat/tv071
 中视,rtmp://f13h.mine.nu/sat/tv091 
华视,rtmp://f13h.mine.nu/sat/tv111
 纬来体育,rtmp://f13h.mine.nu/sat/tv721
 纬来育乐,rtmp://f13h.mine.nu/sat/tv701
