🎼梁旭Music,#genre#
CCTV8K超高清,http://php.jdshipin.com/TVOD/iptv.php?id=cctv8k
咪咕体育4K,http://php.jdshipin.com/itv6.php?cid=FifastbLive&id=3000000010000005180
咪咕体育4K-2,http://php.jdshipin.com/itv6.php?cid=FifastbLive&id=3000000010000015686
欢笑剧场4K,http://php.jdshipin.com/itv6s.php?cid=bestzb&id=5000000007000010001
欢笑剧场4K,http://php.jdshipin.com/bestv.php?id=hxjc4k/15000000
欢笑剧场4K,http://php.jdshipin.com/bst2.php?id=hxjc4k/15000000
欢笑剧场4K,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000002000009455
4K修复 7M2160HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
爱上4K,http://php.jdshipin.com/TVOD/hnyd.php?id=00000001000000060000000000000459
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
华数4K影视,http://php.jdshipin.com/itv6s.php?cid=hnbblive&id=2000000004000000014
华数4K影视,http://zteres.sn.chinamobile.com:6060/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
河南卫视4K测试,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
江苏移动8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
斗鱼4K影院,http://159.75.85.63:35455/douyu/9249162
🛰️央视IPV6,#genre#
CCTV1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8
CCTV3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8
CCTV5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]:80/270000001128/9900000507/index.m3u8
CCTV6,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8
CCTV7,http://[2409:8087:74d9:21::6]:80/270000001128/9900000504/index.m3u8
CCTV8,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8
CCTV9,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8
CCTV10,http://[2409:8087:74d9:21::6]:80/270000001128/9900000506/index.m3u8
CCTV11,http://[2409:8087:74d9:21::6]:80/270000001128/9900000508/index.m3u8
CCTV12,http://[2409:8087:74d9:21::6]:80/270000001128/9900000509/index.m3u8
CCTV13,http://[2409:8087:74d9:21::6]:80/270000001128/9900000510/index.m3u8
CCTV14,http://[2409:8087:74d9:21::6]:80/270000001128/9900000511/index.m3u8
CCTV15,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8
CCTV16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CCTV17,http://[2409:8087:74d9:21::9]:80/270000001128/9900000513/index.m3u8
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
郑铁有线,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
农业致富,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010085/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
风云剧场,https://stream1.freetv.fun/2c5f8c7d357055ab2a7f99dca840c9246156927262f6863e620c93cd00e88bb0.ctv
风云剧场,https://stream1.freetv.fun/f77c369fb1c449d74e3d25a52692a3e4b359de1295c628375694ebfcf59252e3.ctv
怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
风云音乐,https://stream1.freetv.fun/9931b4cd0062b8b30f8b47560bc3e4d737e32301084d81fc8bb8e86ac1a24016.ctv
风云音乐,https://stream1.freetv.fun/1aafd25602a79ec80011059426c62205d6bcd37c243b0c297d7696e3e6722c86.ctv
风云音乐,https://stream1.freetv.fun/cctvfeng-yun-yin-le-20.ctv
央视文化精品,http://nas.hssvm.com:8888/udp/225.1.2.177:5002

🛰️央视IPV4,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://121.24.98.226:8090/hls/14/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

🇨🇳最美贵州,#genre#
贵州1,http://dsm.52mm.top:28888//rtp/238.255.2.1:5999
贵州2,https://9bwaz8y2.gzstv.com/live/CH02_lo.m3u8?txSecret=dd6adcb09410280bcee23368e5397266&txTime=66FA6856
贵州3,https://9bwaz8y2.gzstv.com/live/CH03_lo.m3u8?txSecret=6b0414695bed374b71d89ed5db21b73e&txTime=66FA6395
贵州4,http://117.72.68.25:9930/guizhou.php?id=gzsh
贵州5,http://117.72.68.25:9930/guizhou.php?id=gz5p
贵州6,http://117.72.68.25:9930/guizhou.php?id=kjjk
贵州7,http://dsm.52mm.top:28888/rtp/238.255.2.9:5999
贵州移动,http://117.72.68.25:9930/guizhou.php?id=ydsz
遵义综合,http://pluslive.zunyifb.com/xwpd/playlist.m3u8?_upt=c4dde1371719055056
遵义都市,http://pluslive.zunyifb.com/dspd/playlist.m3u8?_upt=383250701719055062
道真新闻,http://live.dzrmtzx.org.cn:90/live/dspd_1M.m3u8
凤冈综合,http://live.fgxrmtzx.cn:90/live/zhpd.m3u8
松桃新闻,http://live.strmtzx.cn/stxw/sd/live.m3u8
遵义都市,http://pluslive.zunyifb.com/dspd/hd/live.m3u8
七星关,https://p8.vzan.com:443/slowlive/147077707554082780/live.m3u8
黔西南综合,http://dsm.52mm.top:28888/rtp/238.255.2.126:5999
贵阳1,https://52453.hlsplay.aodianyun.com/tv_radio_52453/tv_channel_3398.m3u8?auth_key=172268327800c23a67c983d8c446f5a9828b1b3c7bb9&extra_key=c__ZTVPBo6eV3ZwpRaggOVZ0fiUhCGmGH2CQxdFPwzj2NF77I3CIWfEqi9flL0rvZLiqwwhEADMOdNTZxClehtGRrncsHm0SfNHvEtmLdp2BsEovlwFs2UzAyEwKy2V66WTodQMAJiR81h7MJmbJBU7QOJJODW9gp27v0zzDs
贵阳2,https://52453.hlsplay.aodianyun.com/tv_radio_52453/tv_channel_3399.m3u8?auth_key=17226833680062c5927a8ddc0445cf144a74c7ee127a&extra_key=_tnhewgB1ZBUbOFmSsflghWopZYABmcdj2M7YJSp9WGjTPpmaDODtYn9G9fRPC5Ox33m8kDOOaGMDotOHO3SNOnWsooqCDj6VlfRevWuTCW1jVMyq4SDs0ffO_zurPRyLNDDeXxMZdQplI4SZD7cqKFbGmfQMRJ_7D1y1rlruk
贵阳3,https://52453.hlsplay.aodianyun.com/tv_radio_52453/tv_channel_3400.m3u8?auth_key=1722683347004209d570df808ce76f23bd67bb97eb52&extra_key=YR7nTH0URrQzsJBOcubeBhLHxC_5xZDqtw6XVHg73XUxMOzqUkLSrGGF6IHGEm17808IyAyLR2tH6DFXnl1bbM5T5J4VmhYhBeXJfrGBPDRke8XkNJMwfWoE9vxnwCOjN0EEA6EY2yp3hZ9TaN0HJyKTdN4nvwg4ZIQ9E_c
瓮安电视,http://dsm.52mm.top:28888/rtp/238.255.2.201:5999
黔南1,http://dsm.52mm.top:28888/rtp/238.255.2.150:5999
黔南2,http://dsm.52mm.top:28888/rtp/238.255.2.151:5999
遵义都市,http://dsm.52mm.top:28888/rtp/238.255.2.154:5999
遵义公共,http://dsm.52mm.top:28888/rtp/238.255.2.152:5999
遵义综合,http://dsm.52mm.top:28888/rtp/238.255.2.153:5999
铜仁1,http://dsm.52mm.top:28888/rtp/238.255.2.31:5999
铜仁2,http://dsm.52mm.top:28888/rtp/238.255.2.87:5999
毕节1,http://dsm.52mm.top:28888/rtp/238.255.2.131:5999
毕节2,http://dsm.52mm.top:28888/rtp/238.255.2.132:5999
六盘水1,http://dsm.52mm.top:28888/rtp/238.255.2.115:5999
六盘水2,http://dsm.52mm.top:28888/rtp/238.255.2.116:5999
黔东南综合,http://live2.qxndt.com/zhpd/playlist.m3u8?_upt=7b3ccc961721618273
黔东南综合,http://dsm.52mm.top:28888/rtp/238.255.2.179:5999
黔西南公共,http://live2.qxndt.com/ggpd/sd/live.m3u8?_upt=493cdd001721931053
黔西南公共,
黔西南公共,http://dsm.52mm.top:28888/rtp/238.255.2.127:5999
安顺公共,http://7fb6a9494e941e2acfc4eed53f777c1a.livehwc3.cn/hplayer1.juyun.tv/camera/154526164.m3u8$安顺电台官网
安顺新闻,https://player.juyun.tv/camera/64413134.m3u8
安顺新闻,http://7fb6a9494e941e2acfc4eed53f777c1a.livehwc3.cn/hplayer1.juyun.tv/camera/154379194.m3u8$安顺电台官网
凯里电视,http://dsm.52mm.top:28888/rtp/238.255.2.180:5999
雷山综合,http://dsm.52mm.top:28888/rtp/238.255.2.128:5999
松桃新闻,http://live.strmtzx.cn/stxw/sd/live.m3u8

🇨🇳卫视高清,#genre#
北京卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226161/index.m3u8$LR•IPV6『线路4』
北京卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017156/1.m3u8$LR•IPV6『线路5』
北京卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021288/1.m3u8$LR•IPV6『线路6』
北京卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226161/index.m3u8$LR•IPV6『线路32』
北京纪实,https://stream1.freetv.fun/fdf18c3c9e038a9d380d79d7db4af229f7ef534950a509e4cc9e58d88f05362f.m3u8
北京纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
东方卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000518/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000518$LR•IPV6『线路16』
东方卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226155/index.m3u8$LR•IPV6『线路18』
东方卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010219/$LR•IPV6『线路20』
东方卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226155/index.m3u8$LR•IPV6『线路22』
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/$LR•IPV6『线路23』
东方卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226735/index.m3u8$LR•IPV6『线路24』
东方卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221225755/index.m3u8$LR•IPV6『线路25』
上海纪实,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010067/1.m3u8
上海纪实,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
天津卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010069/index.m3u8$LR•IPV6『线路15』
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
重庆卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010053/1.m3u8$LR•IPV6『线路11』
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010056/1.m3u8$LR•IPV6『线路11』
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$可回放 
山东卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010066/1.m3u8
山东卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000527
安徽卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000514/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000514$LR•IPV6『线路15』
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000030159/1.m3u8$LR•IPV6『线路2』
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020780/1.m3u8$LR•IPV6『线路3』
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8$LR•IPV6『线路4』
安徽卫视,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002200/index.m3u8$LR•IPV6『线路5』
安徽卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226205/index.m3u8$LR•IPV6『线路24』
河南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000027/index.m3u8$LR•IPV6『线路3』
河南卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226614/index.m3u8$LR•IPV6『线路4』
河南卫视,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002221/index.m3u8$LR•IPV6『线路5』
河南卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$LR•IPV6『线路14』
河南卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226614/index.m3u8$LR•IPV6『线路19』
河南卫视,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002221/index.m3u8$LR•IPV6『线路20』
河南卫视,http://[2409:8087:74d9:21::6]/270000001128/9900000027/index.m3u8$LR•IPV6『线路22』
河南卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226320/index.m3u8$LR•IPV6『线路23』
湖北卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010057/1.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖北卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000522
湖北卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$LR•IPV6『线路7』
湖北卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$可回放 
河北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/index.m3u8$LR•IPV6『线路9』
河北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/1.m3u8?$LR•IPV6『线路11』
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
江苏卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000524/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000524$LR•IPV6『线路15』
江苏卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004684/1.m3u8$LR•IPV6『线路3』
江苏卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/index.m3u8$LR•IPV6『线路5』
江苏卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000001828/1.m3u8$LR•IPV6『线路16』
广东卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000520/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000520$LR•IPV6『线路14』
广东卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226180/index.m3u8$LR•IPV6『线路16』
广东卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8$LR•IPV6『线路23』
深圳卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/index.m3u8$LR•IPV6『线路13』
深圳卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000529
深圳卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010068/1.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
厦门卫视,http://[2409:8087:74f0:22::5]:6610/270000001128/9900000058/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000058
厦门卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266006/1.m3u8?channel-idystenlive&Contentid1000000005000266006&livemode1&stbId3
厦门卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000266006/1.m3u8$LR•IPV6『线路1』
青海卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8$LR•IPV6『线路2』
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
海峡卫视,http://php.jdshipin.com/fujian.php?id=9
广西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031118/1.m3u8$LR•IPV6『线路3』
广西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8$LR•IPV6『线路4』
广西卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000034/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000034$LR•IPV6『线路11』
广西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8?$LR•IPV6『线路15』
广西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000019837/1.m3u8$LR•IPV6『线路17』
广西卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226452/index.m3u8$LR•IPV6『线路19』
广西卫视,http://[2409:8087:74d9:21::6]/270000001128/9900000034/index.m3u8$LR•IPV6『线路20』
广西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000034/index.m3u8$LR•IPV6『线路21』
广西卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226452/index.m3u8$LR•IPV6『线路22』
东南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000519
东南卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010096/1.m3u8
贵州卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000036
云南卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000035/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000035
云南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/index.m3u8$LR•IPV6『线路2』
云南卫视,https://stream1.freetv.fun/79c75f0ac2399f6cb7f7270e0589bc4888bcaff828e61ff2fdd92b9d85129a1e.m3u8
四川卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/1.m3u8?$LR•IPV6『线路13』
四川卫视,[2409:8087:5e00:24::10]:6060/200000001898/460000089800010115/1.m3u8
海南卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000037
海南卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010083/1.m3u8
海南自贸,https://stream1.freetv.fun/c07cdde0678a0f7d9472d2859deb68ee86813698079e8f7167a45553a4da51e5.m3u8
甘肃卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8$LR•IPV6『线路2』
三亚卫视,
吉林卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000030
吉林卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010075/1.m3u8
内蒙古卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000044
内蒙古卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010109/1.m3u8
陕西卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000026/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000026
陕西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010113/1.m3u8
陕西卫视,
山西卫视,http://[2409:8087:74f0:22::5]:6610/270000001128/9900000053/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000053
山西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010114/1.m3u8
宁夏卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000047/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000047
宁夏卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010110/1.m3u8
宁夏卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226454/index.m3u8$LR•IPV6『线路1』
宁夏卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226454/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$可回放 
江西卫视,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000525
江西卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010060/1.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$可回放 
海南卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$可回放 
辽宁卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226209/index.m3u8$LR•IPV6『线路5』
辽宁卫视,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002201/index.m3u8$LR•IPV6『线路6』
辽宁卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000526/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000526$LR•IPV6『线路10』
辽宁卫视,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002201/index.m3u8$LR•IPV6『线路18』
辽宁卫视,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010061/$LR•IPV6『线路20』
辽宁卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226254/index.m3u8$LR•IPV6『线路21』
湖南卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000523/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000523$LR•IPV6『线路11』
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002143/index.m3u8$LR•IPV6『线路15』
湖南卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226193/index.m3u8$LR•IPV6『线路17』
