中超粤评,#genre#
千娇百媚16集,https://svip.high25-playback.com/20250220/20089_ff089e36/index.m3u8
千娇百媚17集,https://vip.ffzy-video.com/20250221/12607_388ac20c/index.m3u8
千娇百媚18集,https://svip.high25-playback.com/20250221/20209_51abcc0f/index.m3u8
仙台有树01集,https://svip.high25-playback.com/20250207/19125_641aa2e1/index.m3u8
仙台有树02集,https://svip.high25-playback.com/20250207/19124_940ee337/index.m3u8
仙台有树03集,https://svip.high25-playback.com/20250207/19123_61acdc1e/index.m3u8
仙台有树04集,https://svip.high25-playback.com/20250207/19122_8a26aa92/index.m3u8
仙台有树05集,https://svip.high25-playback.com/20250207/19121_f8a88b85/index.m3u8
仙台有树06集,https://svip.high25-playback.com/20250207/19120_58d8cb78/index.m3u8
仙台有树07集,https://svip.high24-playback.com/20250208/18142_397e25ae/index.m3u8
仙台有树08集,https://svip.high24-playback.com/20250208/18141_8eaff66d/index.m3u8
仙台有树09集,https://svip.high24-playback.com/20250209/18227_4ac7409e/index.m3u8
仙台有树10集,https://svip.high24-playback.com/20250209/18226_18db3ae9/index.m3u8
仙台有树11集,https://svip.high25-playback.com/20250210/19419_19dbcc83/index.m3u8
仙台有树12集,https://svip.high25-playback.com/20250210/19418_b30f7e26/index.m3u8
仙台有树13集,https://svip.high25-playback.com/20250211/19500_df6cfcac/index.m3u8
仙台有树14集,https://svip.high25-playback.com/20250211/19499_65ac4e24/index.m3u8
仙台有树15集,https://svip.yyzy-play.vip/20250212/23341_4bcc9d11/index.m3u8
仙台有树16集,https://svip.yyzy-play.vip/20250212/23340_4b99024b/index.m3u8
仙台有树17集,https://svip.high24-playback.com/20250213/18532_25cc7f32/index.m3u8
仙台有树18集,https://svip.high24-playback.com/20250213/18531_094d276b/index.m3u8
仙台有树19集,https://svip.yyzy-play.vip/20250214/23539_69b5696d/index.m3u8
仙台有树20集,https://svip.yyzy-play.vip/20250214/23538_de42df80/index.m3u8
仙台有树21集,https://svip.high24-playback.com/20250215/18686_5f5917c5/index.m3u8
仙台有树22集,https://svip.high24-playback.com/20250215/18685_905b2a4e/index.m3u8
仙台有树23集,https://svip.yyzy-play.vip/20250216/23788_f57cb235/index.m3u8
仙台有树24集,https://svip.yyzy-play.vip/20250216/23787_e82e2f98/index.m3u8
仙台有树25集,https://svip.yyzy-play.vip/20250217/23855_33f74708/index.m3u8
仙台有树26集,https://svip.yyzy-play.vip/20250217/23854_6ba88ac3/index.m3u8
仙台有树27集,https://svip.yyzy-play.vip/20250218/23935_f2817ede/index.m3u8
仙台有树28集,https://svip.yyzy-play.vip/20250218/23936_01e89426/index.m3u8
仙台有树29集,https://svip.yyzy-play.vip/20250219/24005_7e039e23/index.m3u8
仙台有树30集,https://svip.yyzy-play.vip/20250219/24004_0ad6e5b7/index.m3u8
仙台有树31集,https://svip.yyzy-play.vip/20250220/24083_486e6c08/index.m3u8
仙台有树32集,https://svip.yyzy-play.vip/20250220/24082_2939709c/index.m3u8
仙台有树33集,https://vip.ffzy-video.com/20250221/12603_ae9ed342/index.m3u8
仙台有树34集,https://vip.ffzy-video.com/20250221/12604_359f449e/index.m3u8
掌心之第01集,https://svipsvip.ffzy-online5.com/20250207/38071_b19db9e0/index.m3u8
掌心之第02集,https://svipsvip.ffzy-online5.com/20250207/38072_ba0c4a7b/index.m3u8
掌心之第03集,https://svipsvip.ffzy-online5.com/20250207/38073_3c9e23a0/index.m3u8
掌心之第04集,https://svipsvip.ffzy-online5.com/20250207/38074_61592633/index.m3u8
掌心之第05集,https://svipsvip.ffzy-online5.com/20250208/38117_56744921/index.m3u8
掌心之第06集,https://svipsvip.ffzy-online5.com/20250208/38116_688d7d9d/index.m3u8
掌心之第07集,https://svipsvip.ffzy-online5.com/20250209/38167_035f0aed/index.m3u8
掌心之第08集,https://svipsvip.ffzy-online5.com/20250209/38168_c786b08d/index.m3u8
掌心之第09集,https://svipsvip.ffzy-online5.com/20250210/38202_4fabcbd3/index.m3u8
掌心之第10集,https://svipsvip.ffzy-online5.com/20250210/38203_77df05a3/index.m3u8
掌心之第11集,https://svipsvip.ffzy-online5.com/20250211/38232_e98dd41d/index.m3u8
掌心之第12集,https://svipsvip.ffzy-online5.com/20250211/38233_cc376171/index.m3u8
掌心之第13集,https://svipsvip.ffzy-online5.com/20250212/38272_7fd5d52a/index.m3u8
掌心之第14集,https://svipsvip.ffzy-online5.com/20250213/38300_fff23c80/index.m3u8
掌心之第15集,https://svip.yyzy-play.vip/20250213/23399_1e047cc1/index.m3u8
掌心之第16集,https://svipsvip.ffzy-online5.com/20250214/38342_401dce02/index.m3u8
掌心之第17集,https://svipsvip.ffzy-online5.com/20250215/38371_d2eefbcc/index.m3u8
掌心之第18集,https://svipsvip.ffzy-online5.com/20250215/38372_3bd73f0a/index.m3u8
掌心之第19集,https://svipsvip.ffzy-online5.com/20250216/38411_0012e5ac/index.m3u8
掌心之第20集,https://svip.high24-playback.com/20250217/18786_b04c9b2c/index.m3u8
掌心之第21集,https://svip.yyzy-play.vip/20250220/24085_c9095642/index.m3u8
掌心之第22集,https://svip.yyzy-play.vip/20250220/24086_faaf7fa8/index.m3u8
掌心之第23集,https://svipsvip.ffzy-online5.com/20250221/38566_8525d6d5/index.m3u8
掌心之第24集,https://svip.high25-playback.com/20250222/20363_30bf63d4/index.m3u8
六姊妹第01集,https://svip.yyzy-play.vip/20250203/22567_42415978/index.m3u8
六姊妹第02集,https://svip.yyzy-play.vip/20250203/22578_96f925dc/index.m3u8
六姊妹第03集,https://svip.yyzy-play.vip/20250203/22577_3df16b04/index.m3u8
六姊妹第04集,https://svip.yyzy-play.vip/20250203/22573_8e7f886f/index.m3u8
六姊妹第05集,https://svip.high25-playback.com/20250204/18891_eb34d63b/index.m3u8
六姊妹第06集,https://svip.high25-playback.com/20250204/18892_b4d8823f/index.m3u8
六姊妹第07集,https://svip.high25-playback.com/20250205/18972_e7d48fc8/index.m3u8
六姊妹第08集,https://svip.yyzy-play.vip/20250205/22721_7c17dc75/index.m3u8
六姊妹第09集,https://svip.yyzy-play.vip/20250206/22819_83ee910d/index.m3u8
六姊妹第10集,https://svip.yyzy-play.vip/20250206/22818_8615ad7d/index.m3u8
六姊妹第11集,https://svip.high25-playback.com/20250208/19207_6726bb87/index.m3u8
六姊妹第12集,https://svip.high25-playback.com/20250208/19206_d175b2cb/index.m3u8
六姊妹第13集,https://svip.high24-playback.com/20250209/18239_4dd9de65/index.m3u8
六姊妹第14集,https://svip.high24-playback.com/20250209/18238_622d8fab/index.m3u8
六姊妹第15集,https://svip.yyzy-play.vip/20250211/23230_f8ec94fc/index.m3u8
六姊妹第16集,https://svip.yyzy-play.vip/20250211/23229_93c83798/index.m3u8
六姊妹第17集,https://svip.high24-playback.com/20250211/18442_b254c03d/index.m3u8
六姊妹第18集,https://svip.high24-playback.com/20250211/18441_f10d4a91/index.m3u8
六姊妹第19集,https://svip.high24-playback.com/20250213/18538_b466d634/index.m3u8
六姊妹第20集,https://svip.yyzy-play.vip/20250213/23447_0012633b/index.m3u8
六姊妹第21集,https://svip.high24-playback.com/20250214/18631_f70e0d46/index.m3u8
六姊妹第22集,https://svip.high24-playback.com/20250214/18640_0d5f362b/index.m3u8
六姊妹第23集,https://svip.high25-playback.com/20250217/19837_14c15a44/index.m3u8
六姊妹第24集,https://svip.high25-playback.com/20250217/19841_c57285a1/index.m3u8
六姊妹第25集,https://svip.high24-playback.com/20250218/18845_171148c2/index.m3u8
六姊妹第26集,https://svip.high24-playback.com/20250218/18844_af864483/index.m3u8
六姊妹第27集,https://svip.high24-playback.com/20250219/18880_e0e6dc7d/index.m3u8
六姊妹第28集,https://svip.high24-playback.com/20250219/18879_9311cde7/index.m3u8
六姊妹第29集,https://svip.high24-playback.com/20250220/18937_f2011d95/index.m3u8
六姊妹第30集,https://svip.high25-playback.com/20250221/20099_4737db53/index.m3u8
六姊妹第31集,https://svip.high25-playback.com/20250222/20233_d7d8b9bf/index.m3u8
六姊妹第32集,https://svip.high25-playback.com/20250222/20232_525d53ab/index.m3u8
央卫咪咕,#genre#
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-01咪咕,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV-02咪咕,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV-03咪咕,http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095
CCTV-04咪咕,http://tv.20191209.xyz:37377/migu/631780421.m3u8?migutoken=40b6a739d50c9611ac1bd3d6237cc8012f7bd8bd06945da894d03e393a3af480e950d8dc5e1a28cc2b74626afd48a747c2298114358e3f95be67743f3627ea5c2b12422eb6f434b52d57ce8c
CCTV-05咪咕,http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0
CCTV-5+咪咕,http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8
CCTV-06咪咕,http://tv.20191209.xyz:37377/migu/624878396.m3u8?migutoken=14b6f481c50ac947cd74bf4b212c490bc99f4bebefd4ce18011c9eb269208a0ce9740af370135e855763df734bac8f57f36721ae54b6afc81829420e84f46c65a2de80938b057c6ec23459eb
CCTV-07咪咕,http://tv.20191209.xyz:37377/migu/673168121.m3u8?migutoken=76fbb50f9a12de455452a0b92fde921c6a9a596f2e4035246492270152653570a478746ff105876f101081cb38974e61faa26aebb018bef93a4d7b8a840fa3beb2b478fdb581d84460caa867
CCTV-08咪咕,http://tv.20191209.xyz:37377/migu/624878356.m3u8?migutoken=9d347588ab808559db972d3c94b0d970ec130153e4a6dde98c4466f1d3f85f58de23d16994f2f0ed903aa6727a7282cb17103e67b69c8e3f31d253bb78039a4df119e2cfeba6916d123a8003
CCTV-09咪咕,http://tv.20191209.xyz:37377/migu/673168140.m3u8?migutoken=f031388105c748c586faaad9c60beb6810562043675d6edc5e20d12b433d4ca6cb365c3f3ae060a000a9d0dfcfe0e27fef16bfe073d28cb40758aaa79ab380a9015815cfe9bfc4e6413e284a
CCTV-10咪咕,http://tv.20191209.xyz:37377/migu/624878405.m3u8?migutoken=06cf776d6a6cbe5cb707174dfad937c2164030bf7ce5f589493870891966f9cdaa5f56bad6e7874d683d5b1e3d9a6e59d0f7c78276d5ec47d979ae42b67833e261a2dda0118f3edcabd6a85b
CCTV-11咪咕,http://tv.20191209.xyz:37377/migu/667987558.m3u8?migutoken=d3962834d5d359e6f7f25a8880b73dac381a999ef87ba6b7f0f985bb5308a73061bbf5a9abdf873debb3b83b31eb7eff72f410c853c86f404b3f3ef269aeb631982e338f1400adcaf902fff7
CCTV-12咪咕,http://tv.20191209.xyz:37377/migu/673168185.m3u8?migutoken=3d92babc7a67aec41de5c1dc227d2bd8fd9aa5b6b3edb965f88dd9646adaa606101488515fe666e97721c2225a097e6a0f713f1e60f7427247164488ed52f9ec583d71d650f5382f878e71aa
CCTV-13咪咕,http://tv.20191209.xyz:37377/migu/608807423.m3u8?migutoken=948b8b51df7e776bcf238bb9088879a2b71a25a424b0d80d5e71375315cda109c5aab5c79693c4324d45ad012e70208234f659abbe606a595a03d29e06ce931ed56f129fbc95a505ab84f72c
CCTV-14咪咕,http://tv.20191209.xyz:37377/migu/624878440.m3u8?migutoken=d84c14c00275d7fa951be2b0a959b0c1af15c62e7f86732fa2306e3a92f447f5b841e0cc26645dc89e70e970812e2c07c2fe24ae5c02b854544ed8c99d6c6d668a402d58cf351e77b5311afd
CCTV-15咪咕,http://tv.20191209.xyz:37377/migu/673168223.m3u8?migutoken=91bfd27ec54e6b68df329e3a36e211ea78e34558edc20ae3d76e0cbf89e6012d4e33c760dd200a4a41b2587c50dee210ca66da4ff8be48c4a97a2c7ab22d824ea440cc9c06961aa846be65a0
CCTV-16咪咕,https://stream1.freetv.fun/f5e0459fd9f11d93ac18af88196997db1c71aeb6d27ce1bd24faccb628652629.m3u8
CCTV-17咪咕,http://tv.20191209.xyz:37377/migu/673168256.m3u8?migutoken=eb3fbda758006d66837b5b6ef1b7ab6847a99f05f6b3303861d81e6e1335349499a40c8479d9a801327519db10547f9870398da6796159db51812e236c1b6c07d2c0f7e5bc32101c9cc222dc
cct4欧洲咪咕,http://tv.20191209.xyz:37377/migu/608807419.m3u8?migutoken=f623911f12100eda47f646cc2a14f2c4563e5d65f3e99dd30284493de9b5ff8389ee51ba62d51bb0a92235ccb1109e54ab6b1b5fe401fe4f60d18b1ccc51f92aa29b70fba7a400ff9058fdf8
cct4美洲咪咕,http://tv.20191209.xyz:37377/migu/608807416.m3u8?migutoken=3e58d508ab4bf069dc535fdfc6330dfccfc52c3bb391b5b5602cff12f0acbb883fa9280c7422a00e84eba6fd1e2ddb27dc888d6e63e914595ce9fb917d9462307140d2558dac1fb322c2a85b
东方卫视咪咕,http://tv.20191209.xyz:37377/migu/651632648.m3u8?migutoken=a9a2b71c87ef01a1f546b80d3776d4e2ab5a03525b06b379f6d3ebca3a7a40f732115ab805783c8a8a73e5580900755cdfb3b6d3c2b9308a46141d56b6b629038613c381a9027a60e527e1c8
江苏卫视咪咕,http://tv.20191209.xyz:37377/migu/623899368.m3u8?migutoken=0c1255f44cf0460d401afd9fdc722c6398b97c5880dc9c45f00ae3faa4d208ecd6942cc08a2f3f09bac00b520297cc93d1b83c17d52ade00620508eae303d397c58e8b1deb59c8ac4158cd7d
河南卫视咪咕,http://tv.20191209.xyz:37377/migu/790187291.m3u8?migutoken=086ba6ec3f6268d44a6979043b9df04cccad70c2a183e6b46cc15be2d0bd40d33e0be32880248cf8d79ddcf04a82560af19d8d9cc76b700a59be26618056a02a5f822c76fe3ed7f3e0b81c94
湾区卫视咪咕,http://tv.20191209.xyz:37377/migu/608917627.m3u8?migutoken=9834d810bca2c8694ae0e82057357a221a863429f08360a858b31c312185e541b0c4e94c3f4e5c15838761b6e369b796ec139c7f8c819c0861e03d26cd07a26a6738deb1cade7ee3fa7648dd
央卫--iTV,#genre#
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
央卫斯特,#genre#
CCTV-01斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv1
CCTV-02斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv2
CCTV-03斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv3
CCTV-04斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=Cctv4
CCTV-05斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5
CCTV 5+斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5plus
CCTV-06斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv6
CCTV-07斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv7
CCTV-08斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv8hd
CCTV-09斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv9hd
CCTV-10斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv10hd
CCTV-11斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv11
CCTV-12斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv12
CCTV-13斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv13
CCTV-14斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv14
CCTV-15斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv15
CGTN_英斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=CGTN
北京卫视斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=beijing
深圳卫视斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=shenzhen
广西卫视斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=guangxi
湖北卫视斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=hubei
东南卫视斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=fujian
广东珠江斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=zhujiang
特区斯特,#genre#
